experience_id,name,top_skills,specializations,industries
ai-based-condition-monitoring-for-sensor-integrated-gears,AI Based Condition Monitoring For Sensor Integrated Gears,,Machine Learning,
ai-meets-antitrust,AI Meets Antitrust,,NLP,
ai-society-and-governance,AI Society And Governance,LLMs,Generative AI,
atomic-scale-microscopy-on-the-dynamics-of-oxide-supported-cluster-catalysts,Atomic Scale Microscopy On The Dynamics Of Oxide Supported Cluster Catalysts,Python,,
biological-learning-in-neural-networks,Biological Learning In Neural Networks,Neural Networks,,
biomatrix,Biomatrix,Neural Networks,Machine Learning,
brain-inspired-computing-for-edge-ai,Brain Inspired Computing For Edge AI,,Deep Learning,
byzantine-attack-strategies-in-federated-learning,Byzantine Attack Strategies In Federated Learning,,Machine Learning,
coding-for-distributed-machine-learning,Coding For Distributed Machine Learning,,Machine Learning,
design-of-long-range-tunable-couplers-for-superconducting-quantum-circuits,Design Of Long Range Tunable Couplers For Superconducting Quantum Circuits,Python,,
dual-spaces-of-neural-networks-creating-maps-between-the-parameter-space-and-the-input-space,Dual Spaces Of Neural Networks Creating Maps Between The Parameter Space And The Input Space,GPT;Neural Networks;Backpropagation,Machine Learning;Deep Learning,
end-to-end-machine-learning-for-data-driven-inventory-control,End To End Machine Learning For Data Driven Inventory Control,,Machine Learning,
enhancing-safety-of-personnel-during-indoor-operations-with-imu-sensors,Enhancing Safety Of Personnel During Indoor Operations With Imu Sensors,Neural Networks,Machine Learning,
explore-steroid-hormone-metabolism-in-human-associated-microbes,Explore Steroid Hormone Metabolism In Human Associated Microbes,Python;Bash,,
high-throughput-electrochemistry,High Throughput Electrochemistry,,Machine Learning,
identify-missing-physics-in-der-based-dynamical-systems,Identify Missing Physics In Der Based Dynamical Systems,Julia;Neural Networks,Machine Learning,
learning-to-collaborate-a-meta-learning-approach-to-forecast-integration,Learning To Collaborate A Meta Learning Approach To Forecast Integration,Python,Machine Learning,
machine-learning-in-electrochemistry,Machine Learning In Electrochemistry,,Machine Learning,
menostik-ai-based-diagnostics-of-menopause-using-wearables-and-digital-biomarkers,Menostik AI Based Diagnostics Of Menopause Using Wearables And Digital Biomarkers,,Machine Learning;Data Science,
ml-based-surrogate-modelling-for-distribution-grid-planning-problems,ML Based Surrogate Modelling For Distribution Grid Planning Problems,Regression;Transformers,Machine Learning,
modeling-of-thermoacoustic-combustion-instabilities,Modeling Of Thermoacoustic Combustion Instabilities,,Machine Learning,
momentum-research-platform,Momentum Research Platform,Python;Docker;Git,NLP;Data Science,
munich-nlp,Munich NLP,,NLP,
neurotum,Neurotum,,Machine Learning;Deep Learning,
noisy-and-constrained-baysian-optimization,Noisy And Constrained Baysian Optimization,,Machine Learning,
openhardware,Openhardware,,Machine Learning,
optimisation-in-atomistic-machine-learning,Optimisation In Atomistic Machine Learning,,Machine Learning,
physics-informed-deep-operator-networks-for-energy-applications,Physics Informed Deep Operator Networks For Energy Applications,Neural Networks,Machine Learning;Deep Learning,
privacy-preserving-inertial-odometry-for-accurate-speed-estimation-in-clinical-trials-using-actibelt-technology,Privacy Preserving Inertial Odometry For Accurate Speed Estimation In Clinical Trials Using Actibelt Technology,Transformers;Neural Networks,Deep Learning,
privacy-security-and-communication-efficiency-in-federated-learning,Privacy Security And Communication Efficiency In Federated Learning,,Machine Learning,
resilient-by-recipe-the-entrepreneur-s-diet-data-driven-analysis-of-mental-health-food-patterns,Resilient By Recipe The Entrepreneur S Diet Data Driven Analysis Of Mental Health Food Patterns,Regression,Machine Learning,
resource-management-for-6g-in-x-subnetworks,Resource Management For 6g In X Subnetworks,,Machine Learning,
safe-control-gym-a-unified-sim2real-benchmark-pipeline-for-safe-robot-learning-and-control,Safe Control Gym A Unified Sim2real Benchmark Pipeline For Safe Robot Learning And Control,Python,Machine Learning,
superconducting-quantum-processor-modeling,Superconducting Quantum Processor Modeling,Python,,
supporting-cognitive-and-sleep-health-in-older-adults-adapting-the-lightup-light-based-intervention-from-singapore-to-germany,Supporting Cognitive And Sleep Health In Older Adults Adapting The Lightup Light Based Intervention From Singapore To Germany,,Data Science,
techlabs,Techlabs,,Data Science,
tum-ai,TUM.ai,,Machine Learning,
tumuchdata,Tumuchdata,,Machine Learning;Data Science,
understanding-nanoscale-dynamics-under-the-stm-by-advanced-data-processing,Understanding Nanoscale Dynamics Under The Stm By Advanced Data Processing,Python,,
view-visual-experience-and-wearables,View Visual Experience And Wearables,,Data Science,
vision-language-modeling-in-medical-imaging,Vision Language Modeling In Medical Imaging,Fine-tuning,Machine Learning;Deep Learning,
