name,description,focus_areas,website,logo_url
100 Voices – One Planet,The international and interdisciplinary team collects personal testimonies of 100 people from 100 countries about climate crisis to raise awareness about the consequences of the overheating of the earth.,Sustainability & Health,https://100vop.org/,
180 Degrees Consulting Munich,"180DC Munich advises non-profits and social startups with real projects. As part of the global 180DC network, the club connects consulting talents to deliver social impact solutions.",Business & Entrepreneurship,https://www.180dcmunich.org/,https://www.tum.de/fileadmin/user_upload_87/_processed_/a/7/csm_180D_1_best_58cad547d1.webp
ABZ Investment Club,"Through lectures, workshops, and networking, participants from all fields gain practical insights into the world of finance and capital markets.",Business & Entrepreneurship,https://www.abz-muenchen.de/,
AEGEE,Europe-wide student forum: From con­­fer­ences in Budapest to cul­tural events in Ljubljana – AEGEE pro­motes co­op­er­a­tion and in­ter­cul­tural ex­change be­­tween young people in Europe.,International & Country-Specific,https://aegee-muenchen.de/,
AG Junge Lebensmittelchemie,"As a specialized group within the German Chemical Society, the working group represents the interests of early-career scientists at universities and during their practical year.",Networking & Career,https://www.ag-jlc.de/,
AIAS Munich,Saving lives with stem cells: The AIAS e.V. team in Munich provides young people with information about leukemia and encourages students to sign up to the German bone marrow registry (DKMS).,Sustainability & Health,https://aias.de/,
AIESEC in Munich,"Social projects abroad: As an international exchange organization, AIESEC offers internships and social projects for young people abroad.",,https://www.aiesec.de/,
AcTUM – the four-stroke drama,"A passionate theater group that brings productions to life through improvisation, acting, and teamwork – welcoming everyone, onstage and off.",Culture & the Arts,https://www.ac-tum.de/,
Academic Energy Cooperative @ TUM,The group seeks to scale sustainable energy projects on campus and drive forward a broader sustainable transformation.,Sustainability & Health,https://collab.dvb.bayern/spaces/TUMacademicenergycooperative/pages/169476133/Academic+Energy+Cooper,
Academy Consult,"At Academy Consult, students apply their knowledge in real consulting projects, sharpen presentation and management skills, and connect with companies, startups, and alumni.",Networking & Career|Business & Entrepreneurship,https://academyconsult.de/,https://www.tum.de/fileadmin/user_upload_87/_processed_/1/4/csm_AcademyConsult_3_best_65acd9a68a.webp
Accento Orchester München,"The orchestra makes classical music accessible to young people. Under professional direction, members rehearse weekly and perform two moderated concerts each semester.",Culture & the Arts,https://accento-muenchen.de/,https://www.tum.de/fileadmin/user_upload_87/_processed_/b/3/csm_Accento_2_best_9471c1c02c.webp
AkaModell,The art of model aircraft: The members of AkaModell design and build remote-controlled model aircraft. The best part is seeing the finished masterpiece take to the skies.,Technology & Research,https://akamodell-muenchen.de/,
Akaflieg München,"Akaflieg München designs, builds, and flies its own aircraft - fully student-run. Combining cutting-edge aerospace engineering with affordable pilot training, the club offers hands-on experience from workshop to cockpit.",Technology & Research,https://www.akaflieg.vo.tum.de/,https://www.tum.de/fileadmin/user_upload_87/_processed_/9/4/csm_akaflieg_flugzeug_startcheck_2_fe264e55b7.webp
Albanian Student Society,"Everyone is invited to explore Albanian culture through events, workshops, and networking opportunities.",International & Country-Specific,https://www.instagram.com/albanian_students_tum/?igsh=MXc3Mjd5cHU3d3Nrbg%3D%3D,
Alternative Investments Munich,"AIM’s goal is to promote education on alternative investments such as private equity, private debt, venture capital, and hedge funds, while providing networking opportunities for students.",Networking & Career|Business & Entrepreneurship,https://www.altinvestmunich.de/,
Amnesty International University Group Munich,"Highlighting issues and driving change, the Munich campus group raises awareness of human rights through art auctions, information booths, and talks.",,https://amnesty-muenchen-hsg.de/,
Arts and Crafts Club,"The club provides a creative and welcoming space for students to explore a wide range of artistic activities, from painting with acrylics and watercolors to knitting, writing, sculpting, origami, or sewing.",Culture & the Arts,https://hn.fs.tum.de/clubs/arts-and-crafts/,
Asclepios Lab Munich,"The club supports international analog astronaut missions through hardware projects and collaborations with Munich-based aerospace companies and research groups. Its main focus areas are life support systems space medicine, and spacecraf simulators.",Technology & Research,https://asclepios.ch/asclepios-lab/,
Asian-European Society Munich,"The student initiative promotes intercultural exchange between Asian and European students through events, workshops, and a job board offering internships and employment opportunities.",International & Country-Specific,https://www.aesmuc.de/,
Association of Iranian Students in Munich,"The club creates a warm, supportive community for international students, especially those from Iran.",International & Country-Specific|Culture & the Arts,https://www.ais-munich.org,
Association of South Tyrolean Apprentices and Students,"ISAS promotes intercultural exchange between South Tyrolean students and the TUM student body, connecting German- and Italian-speaking cultures through first-year events, pub quizzes, Watt tournaments, excursions, and shared trips.",Social & Diversity|Culture & the Arts,https://www.isas-muenchen.de/,https://www.tum.de/fileadmin/user_upload_87/_processed_/1/0/csm_95fa717d-6f97-4eb6-8453-f44a88a85b63_6ffea31999.webp
Aviation Innovation Research (AIR),"AIR builds a high-performance aircraft - interdisciplinary, hands-on, and driven by teamwork. Students develop aviation solutions and gain experience far beyond the classroom.",Technology & Research,https://air-initiative.com/work,https://www.tum.de/fileadmin/user_upload_87/_processed_/5/9/csm_AIR_1_best_72d0ea65f7.webp
Axion,"The student-led consulting initiative connects students with the start-up ecosystem. Working in interdisciplinary teams, members develop practical solutions for early-stage companies and support them in strategy, growth, and fundraising.",Business & Entrepreneurship,https://www.axion-munich.de/,
BRASA Local Munique,"The club promotes Brazilian culture, connects Brazilian students abroad, and supports their integration in Munich.",International & Country-Specific,https://www.instagram.com/brasamunique/,
B_RAW,"The club B_RAW brings students together to strengthen community and exchange, focusing on shared experiences and a wide range of member-initiated activities both on and off campus.",Social & Diversity,mailto:braw.taken@gmail.com,
Baduk TU Go,"The club offers the opportunity to learn and play the game ""GO"" in a positive and social environment. Its simple rules take just minutes to learn but the complex game takes a lifetime to master.",Culture & the Arts,https://www.instagram.com/baduktugo/#,
Beta Sigma Club,The club offers STEM students practical insights into applying mathematics in the financial markets through workshops and lectures.,Business & Entrepreneurship,https://www.betasigmaclub.com/,
BetaTUM Student Beta Tester Community,"BetaTUM functions as TUM students' Product Hunt, facilitating connections between campus application creators and eager initial users to establish a robust user base.",Technology & Research|Business & Entrepreneurship,https://chat.whatsapp.com/JsEZI8XjmGsKF2C5Mw42LK,
Betonkanu TU München,"Concrete canoe: Students are building a functioning canoe from heavy concrete. The key is get­ting the shape right. Every two years, stu­dents take part in the German concrete canoe regatta.",Technology & Research,https://www.instagram.com/betonkanu.tum/,
BioMatrix,Students at BioMatrix work on their own interdisciplinary projects at the intersection of biology and computer science—such as graph neural networks for rare diseases or RNA folding using machine learning.,,https://biomatrix.club,https://www.tum.de/fileadmin/user_upload_87/_processed_/6/3/csm_IMG_4999_2_441c5ca098.webp
Biogenesis,"Biogenesis brings together students from various fields to promote health, performance, and longevity. Through talks, workshops, and discussions on bioactive substances and health tech, self-optimization is explored in a practical way.",Sustainability & Health,https://biogenesismunich.com/,
Bioinformatics Munich Student Lab,"The student-led Bioinformatics Research Initiative applies computational techniques and AI in biology and medicine, offering networking with researchers and industry, plus hands-on experience in innovative projects.",Technology & Research|Academic & Education,https://bmsl.dev/,https://www.tum.de/fileadmin/user_upload_87/_processed_/f/e/csm_DSC_0169_3df044f051.webp
Campus Cneipe C2,"Campus Cneipe is more than a bar: students plan events, manage teams, and shape Garching’s nightlife. Whether it's strategy, finance, or bartending – commitment, team spirit, and the occasional free beer make it all worth it.",Business & Entrepreneurship,https://www.c2.tum.de/,https://www.tum.de/fileadmin/user_upload_87/_processed_/6/7/csm_C2_2_best_227b29a150.webp
Campus Connect München,Campus Connect is a Christian student group open to all students who want to live out their faith in everyday university life.,Religious & Spiritual,https://www.campus-connect.de/muenchen/,
Campus Runners,Student running group with three weekly runs – from relaxed social runs to intense interval training. There is also the opportunity to train together for the Munich (half) marathon.,Sustainability & Health|Social & Diversity,https://linktr.ee/campusrunners,
